mat;dep;par;uf
278;DR. JORGE SILVA ; PROS;ES
279;HELDER SALOMÃO ; PT;ES
280;PAULO FOLETTO ; PSB;ES
281;MARCUS VICENTE ; PP;ES
282;MAX FILHO ; PSDB;ES
283;SERGIO VIDIGAL ; PDT;ES
284;ALEXANDRE SERFIOTIS ; PSD;RJ
285;ALEXANDRE VALLE ; PRP;RJ
286;ALTINEU CÔRTES ; PR;RJ
287;ALESSANDRO MOLON ; PT;RJ
288;AROLDE DE OLIVEIRA ; PSD;RJ
289;CABO DACIOLO ; S.PART.;RJ
290;AUREO ; SD;RJ
291;BENEDITA DA SILVA ; PT;RJ
292;CELSO PANSERA ; PMDB;RJ
293;CHICO D'ANGELO ; PT;RJ
294;CLARISSA GAROTINHO ; PR;RJ
295;CHICO ALENCAR ; PSOL;RJ
296;CRISTIANE BRASIL ; PTB;RJ
297;FRANCISCO FLORIANO ; PR;RJ
298;DELEY ; PTB;RJ
299;DR. JOÃO ; PR;RJ
300;EDUARDO CUNHA ; PMDB;RJ
301;FELIPE BORNIER ; PSD;RJ
302;JAIR BOLSONARO ; PP;RJ
303;EZEQUIEL TEIXEIRA ; SD;RJ
304;GLAUBER BRAGA ; PSB;RJ
305;JANDIRA FEGHALI ; PCdoB;RJ
306;HUGO LEAL ; PROS;RJ
307;JEAN WYLLYS ; PSOL;RJ
308;JULIO LOPES ; PP;RJ
309;FABIANO HORTA ; PT;RJ
310;FERNANDO JORDÃO ; PMDB;RJ
311;MARCELO MATOS ; PDT;RJ
312;LEONARDO PICCIANI ; PMDB;RJ
313;LUIZ SÉRGIO ; PT;RJ
314;PEDRO PAULO ; PMDB;RJ
315;INDIO DA COSTA ; PSD;RJ
316;OTAVIO LEITE ; PSDB;RJ
317;MIRO TEIXEIRA ; PROS;RJ
318;LUIZ CARLOS RAMOS  ; PSDC;RJ
319;MARCO ANTÔNIO CABRAL ; PMDB;RJ
320;SERGIO ZVEITER ; PSD;RJ
321;MARCOS SOARES ; PR;RJ
322;RODRIGO MAIA ; DEM;RJ
323;PAULO FEIJÓ ; PR;RJ
324;ROBERTO SALES ; PRB;RJ
325;ROSANGELA GOMES ; PRB;RJ
326;WASHINGTON REIS ; PMDB;RJ
327;SIMÃO SESSIM ; PP;RJ
328;SORAYA SANTOS ; PMDB;RJ
329;SÓSTENES CAVALCANTE ; PSD;RJ
330;RENATA ABREU ; PTN;SP
331;ALEX MANENTE ; PPS;SP
332;ANA PERUGINI ; PT;SP
333;ANTONIO BULHÕES ; PRB;SP
334;ALEXANDRE LEITE ; DEM;SP
335;BRUNA FURLAN ; PSDB;SP
336;ARLINDO CHINAGLIA ; PT;SP
337;ARNALDO FARIA DE SÁ ; PTB;SP
338;CARLOS SAMPAIO ; PSDB;SP
339;ARNALDO JARDIM ; PPS;SP
340;BETO MANSUR ; PRB;SP
341;ANDRES SANCHEZ ; PT;SP
342;BALEIA ROSSI ; PMDB;SP
343;BRUNO COVAS ; PSDB;SP
345;ELI CORRÊA FILHO ; DEM;SP
346;CAPITÃO AUGUSTO ; PR;SP
347;CELSO RUSSOMANNO ; PRB;SP
348;GUILHERME MUSSI ; PP;SP
349;JEFFERSON CAMPOS ; PSD;SP
350;DUARTE NOGUEIRA ; PSDB;SP
351;DR. SINVAL MALHEIROS ; PV;SP
352;EDUARDO BOLSONARO ; PSC;SP
353;EDUARDO CURY ; PSDB;SP
354;EVANDRO GUSSI ; PV;SP
355;FAUSTO PINATO ; PRB;SP
356;KEIKO OTA ; PSB;SP
357;FLAVINHO ; PSB;SP
358;FLORIANO PESARO ; PSDB;SP
359;IVAN VALENTE ; PSOL;SP
360;GILBERTO NASCIMENTO ; PSC;SP
361;GOULART ; PSD;SP
362;HERCULANO PASSOS ; PSD;SP
363;JORGE TADEU MUDALEN ; DEM;SP
364;JOÃO PAULO PAPA ; PSDB;SP
365;LUIZ LAURO FILHO ; PSB;SP
366;MARA GABRILLI ; PSDB;SP
367;JOSÉ MENTOR ; PT;SP
368;MAJOR OLIMPIO ; PDT;SP
369;MARCELO SQUASSONI ; PRB;SP
370;MARCIO ALVINO ; PR;SP
371;LUIZA ERUNDINA ; PSB;SP
372;PAULO PEREIRA DA SILVA ; SD;SP
373;PAULO MALUF ; PP;SP
374;MILTON MONTI ; PR;SP
375;MISSIONÁRIO JOSÉ OLIMPIO ; PP;SP
376;PAULO TEIXEIRA ; PT;SP
377;MIGUEL HADDAD ; PSDB;SP
378;MIGUEL LOMBARDI ; PR;SP
379;PR. MARCO FELICIANO ; PSC;SP
380;PAULO FREIRE ; PR;SP
381;NELSON MARQUEZELLI ; PTB;SP
382;NILTO TATTO ; PT;SP
